GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
tradeflow,com.dbtraining.tradeflow.model,ReconResult.Builder,10,23,0,0,2,5,2,5,2,5
tradeflow,com.dbtraining.tradeflow.model,BaseTrade,81,68,8,4,11,16,14,5,8,5
tradeflow,com.dbtraining.tradeflow.model,Instrument,47,34,4,0,10,10,10,3,8,3
tradeflow,com.dbtraining.tradeflow.model,AuditLog.Builder,43,0,0,0,9,0,9,0,9,0
tradeflow,com.dbtraining.tradeflow.model,DiscrepancyType,11,27,4,0,5,5,4,1,1,1
tradeflow,com.dbtraining.tradeflow.model,AuditLog,67,0,2,0,19,0,12,0,11,0
tradeflow,com.dbtraining.tradeflow.model,Discrepancy,9,0,0,0,1,0,1,0,1,0
tradeflow,com.dbtraining.tradeflow.model,AuditLog.Operation,21,0,0,0,1,0,1,0,1,0
tradeflow,com.dbtraining.tradeflow.model,TradeStatus,10,33,4,0,1,6,3,1,1,1
tradeflow,com.dbtraining.tradeflow.model,AssetClass,40,0,2,0,9,0,3,0,2,0
tradeflow,com.dbtraining.tradeflow.model,BondTrade,101,0,8,0,17,0,11,0,7,0
tradeflow,com.dbtraining.tradeflow.model,Counterparty.Builder,15,13,0,0,3,3,3,3,3,3
tradeflow,com.dbtraining.tradeflow.model,ReconResult.Status,0,21,0,0,0,1,0,1,0,1
tradeflow,com.dbtraining.tradeflow.model,Counterparty,41,26,4,0,8,8,8,3,6,3
tradeflow,com.dbtraining.tradeflow.model,FXTrade.Builder,63,0,0,0,13,0,13,0,13,0
tradeflow,com.dbtraining.tradeflow.model,Trade,64,84,10,6,11,19,15,11,9,9
tradeflow,com.dbtraining.tradeflow.model,EquityTrade.Builder,5,53,0,0,1,11,1,11,1,11
tradeflow,com.dbtraining.tradeflow.model,FXTrade,94,0,8,0,16,0,10,0,6,0
tradeflow,com.dbtraining.tradeflow.model,EquityTrade,15,37,1,1,3,6,4,2,3,2
tradeflow,com.dbtraining.tradeflow.model,BondTrade.Builder,63,0,0,0,13,0,13,0,13,0
tradeflow,com.dbtraining.tradeflow.model,Trade.Builder,10,63,2,2,2,15,4,11,2,11
tradeflow,com.dbtraining.tradeflow.model,ReconResult,93,39,16,2,15,10,18,4,9,4
tradeflow,com.dbtraining.tradeflow.model,Instrument.Builder,25,13,0,0,5,3,5,3,5,3
tradeflow,com.dbtraining.tradeflow.service,TradeProcessor,99,0,4,0,19,0,5,0,3,0
tradeflow,com.dbtraining.tradeflow.service,ReconciliationOrchestrator.new BaseTrade() {...},16,0,0,0,2,0,2,0,2,0
tradeflow,com.dbtraining.tradeflow.service,TradeValidator,61,0,4,0,17,0,4,0,2,0
tradeflow,com.dbtraining.tradeflow.service,ReconciliationOrchestrator,122,0,2,0,31,0,7,0,6,0
tradeflow,com.dbtraining.tradeflow.service,TradeService,245,0,10,0,52,0,23,0,18,0
tradeflow,com.dbtraining.tradeflow.service,ReconciliationService,88,221,2,18,12,43,5,13,3,5
tradeflow,com.dbtraining.tradeflow.service,ReconReportExporter,189,0,26,0,33,0,17,0,4,0
tradeflow,com.dbtraining.tradeflow.service,TradeParser,339,0,32,0,55,0,22,0,5,0
tradeflow,com.dbtraining.tradeflow.kafka,TradeEventProducer,8,0,0,0,2,0,2,0,2,0
tradeflow,com.dbtraining.tradeflow.kafka,AuditEventConsumer,8,0,0,0,2,0,2,0,2,0
tradeflow,com.dbtraining.tradeflow.kafka,ReconEventConsumer,8,0,0,0,2,0,2,0,2,0
tradeflow,com.dbtraining.tradeflow.kafka,TradeEventConsumer,8,0,0,0,2,0,2,0,2,0
tradeflow,com.dbtraining.tradeflow.controller,TradeController,23,0,0,0,7,0,5,0,5,0
tradeflow,com.dbtraining.tradeflow.controller,ReconController,15,0,0,0,4,0,4,0,4,0
tradeflow,com.dbtraining.tradeflow.controller,TradeController.StatusUpdate,6,0,0,0,1,0,1,0,1,0
tradeflow,com.dbtraining.tradeflow,TradeflowApplication,410,0,6,0,85,0,11,0,8,0
tradeflow,com.dbtraining.tradeflow.service.validator,FXTradeValidator,56,0,14,0,10,0,9,0,2,0
tradeflow,com.dbtraining.tradeflow.service.validator,EquityTradeValidator,58,0,10,0,12,0,7,0,2,0
tradeflow,com.dbtraining.tradeflow.service.validator,BondTradeValidator,72,0,16,0,12,0,10,0,2,0
tradeflow,com.dbtraining.tradeflow.exception,GlobalExceptionHandler,16,0,0,0,4,0,2,0,2,0
